,0,1,2,3,4
prediction_aligned_int_7,0.08956325489479366,0.08883429752059036,0.08856254172366229,0.09120893123738105,0.09085757564417729
rt_aligned_int_7,0.02344723183185382,0.022459418084023297,0.024801451754843495,0.02406191328015317,0.025418490743545297
prediction_aligned_int_14,0.02279622406961468,0.02298016976127637,0.023054271424748474,0.023009996241439068,0.023044767942616007
rt_aligned_int_14,0.014349801641984072,0.014074311747275914,0.013962949429411786,0.014212369746591458,0.01374294866052117
prediction_aligned_int_21,0.024384175706191336,0.024950588352625314,0.024940587277039517,0.02483436458601651,0.024898462300842028
rt_aligned_int_21,0.02192736857669353,0.022346979007458634,0.02260403733484395,0.021703849314650303,0.02227770414057173
prediction_aligned_int_28,0.7849400068280934,0.7802429035029104,0.7864237781519245,0.7937846002148748,0.7842626400270039
rt_aligned_int_28,0.20864318948978833,0.21025064107931812,0.21095171082168018,0.20803504819530383,0.20799420377422884
totalTestResultsIncrease_norm,0.8941005380180742,0.9023934835645191,0.9031887429256558,0.8977908473664733,0.9022159497722011
test_positivity,0.2041278391393867,0.20386087690215382,0.19951514402251025,0.21298374908070028,0.20077458003880477
fb_movement_change,0.01563370804206754,0.015776225957619183,0.015188580499136184,0.015837025658915538,0.014996539237126738
fb_stationary,0.038633412138581624,0.038102343421220985,0.03808714930396706,0.0386634596413552,0.0382135184739365
Diabetes_Prevalence_Both_Sexes,0.004415317442317601,0.004261782621043153,0.004304197037163782,0.004383495631622103,0.004347029838203009
Male_Obesity_%,0.009918116361272156,0.00969825815996006,0.009208258204907005,0.010232682192697462,0.010519143612466197
Female_Obesity_%,0.0030388943685740744,0.0031603139722060636,0.0032292328648890756,0.003135499513258422,0.003220781028609454
life_expectancy,0.0017846388256698154,0.0017810352207704438,0.0017754521087325337,0.0018408395956669432,0.0018524935915436025
mortality_risk_0-5,0.003396399240940595,0.003339847292658793,0.003307130290055138,0.0032636179533276355,0.0033229177488836026
mortality_risk_5-25,0.003186102116107037,0.003207351437852668,0.0031773035690725315,0.003129937675803718,0.003132248314094088
mortality_risk_25-45,0.007863069419021596,0.007927758907712357,0.007990850063884225,0.007856171510859822,0.0074589014482352445
mortality_risk_45-65,0.002721306394997236,0.0025892413384284163,0.00263567618571825,0.0026954961735168315,0.0026346086211650466
mortality_risk_65-85,0.006118271859633984,0.0060740136759478425,0.006315744136468626,0.00632299227569566,0.0061071662143777905
tubercolosis_mortality,0.01004638410185077,0.010202246789996261,0.01000800760031384,0.010183801782927548,0.010344828679377138
AIDS_mortality,0.053027642317094226,0.05514932266937522,0.05447384322635407,0.05394585757769732,0.053888985450440186
diarrheal_mortality,0.012491461778090462,0.01222118785358517,0.012368665198838724,0.012275513687966644,0.012089971799490007
lower_respiratory_mortality,0.007263647445781118,0.007233830294189336,0.007471374050742718,0.00739235874874089,0.007387859018511134
meningitis_mortality,0.0033278456522611854,0.0034309633785772897,0.003294496773126654,0.0033480379871143606,0.0033525393011192284
hepatitis_mortality,0.06619323986869452,0.07131618149552943,0.06550262873685231,0.061711062082012824,0.06633409988152827
other_resp_mortality,0.00483773833999801,0.0049783670076709585,0.005001366406751417,0.005049786713220539,0.004876016135028527
interstitial_lung_mortality,0.009435579719551224,0.009201464800050352,0.008659451674455032,0.008971732935264876,0.00938993520161957
asthma_mortality,0.003618786608752922,0.003704844128803675,0.003634375339987894,0.003672028088151702,0.0036461418531118506
other_pneumoconiosis_mortality,0.008803634419626616,0.008907515278891553,0.008700187152798855,0.008899806766440643,0.008904153446094298
coal_pneumoconiosis_mortality,0.004525157070892516,0.004615351405891532,0.00458788000310173,0.004557481180025524,0.0045390032518215495
asbestosis_mortality,0.006147091532441085,0.005748568937212317,0.005635922460951903,0.00614544681040019,0.006208305476199993
silicosis_mortality,0.0027131456796163356,0.00267804414443229,0.002823930302658706,0.002688779408664521,0.002864124574248117
pneumoconiosis_mortality,0.00816439034355032,0.008673016408265788,0.008685604047279472,0.008524048548246066,0.00901686362652998
COPD_mortality,0.005187476339327257,0.005125429955778138,0.004915350093611548,0.004836728370653187,0.004865826790761529
chronic_respiratory_mortality,0.005199053250950159,0.005036076053808847,0.005181584948510065,0.004910181361506338,0.004931746278009852
Socioeconomic Status,0.005752959776968325,0.006012050868432928,0.005637617459644639,0.005824199299119481,0.005876988168183939
Household Composition & Disability,0.00743863561939917,0.007381506561957907,0.007005539959259788,0.007141777255998183,0.006889715987956402
Minority Status & Language,0.05698010373232332,0.055839752931107656,0.057559745173530574,0.05519874016709436,0.05441770731844642
Housing Type & Transportation,0.005938026200497881,0.005988463777656383,0.0058083251295979466,0.005987104384467923,0.006043824509700868
Epidemiological Factors,0.006066362905849165,0.005928254225573859,0.005956135830888054,0.0059097968320595,0.005900466303080831
Healthcare System Factors,0.00916895830930542,0.009279210258652304,0.009177092338370274,0.009410133039806978,0.009332112462335007
POP_DENSITY,0.017709244979837946,0.017686451113196777,0.016512792046423308,0.01706486559665199,0.016748804732298672
BA_MALE,0.005384798093281962,0.005623230214502728,0.00541290260923788,0.005874604694047658,0.005541230950037002
BA_FEMALE,0.009398643601118306,0.009549545882808874,0.00938387689548037,0.00925741876943209,0.009275826046834412
IA_MALE,0.004921644436452155,0.004961552424098348,0.005000686778516283,0.004941799505033817,0.005086651332909087
IA_FEMALE,0.005814795092326741,0.005642059328848759,0.005652738365599319,0.005887382497450577,0.0057086431881985256
NA_MALE,0.006365673313271314,0.006700050201509544,0.006535847143749884,0.006496353038924374,0.006461952459373421
NA_FEMALE,0.005577989793982496,0.005763342767293844,0.005619507774513144,0.005577152865364754,0.005488285173349983
TOM_MALE,0.008134886154496646,0.007547537404191229,0.00751932399813815,0.007442577456603372,0.00774302436846519
TOM_FEMALE,0.004216587293645269,0.004293747973381223,0.004279876186427112,0.004327982049519785,0.004218353484088833
H_MALE,0.006520312570854059,0.006416968967047798,0.0066667382764382666,0.006238843293511431,0.006702421442639439
H_FEMALE,0.005343180972494976,0.005659939088991983,0.0055049948341914234,0.00569506940442055,0.005652025800939708
ELDERLY_POP,0.0208668768516721,0.022124550148912236,0.023088845405768166,0.02298708076150846,0.021629130204170344
Land Area,0.0104369018174566,0.010899457388157896,0.0110014124894392,0.011021835976483318,0.010420285771619908
