Location,FIPS,Diabetes_Prevalence_Both_Sexes
Jefferson County,21111,14.65
Jessamine County,21113,13.99
Johnson County,21115,17.29
Kenton County,21117,14.22
Knott County,21119,18.62
Knox County,21121,17.91
Larue County,21123,15.27
Laurel County,21125,16.05
Lawrence County,21127,17.83
Lee County,21129,19.13
Leslie County,21131,17.89
Letcher County,21133,17.58
Lewis County,21135,17.78
Lincoln County,21137,16.07
Livingston County,21139,13.91
Logan County,21141,15.41
Lyon County,21143,14.24
McCracken County,21145,13.36
McCreary County,21147,18.8
McLean County,21149,14.74
Madison County,21151,15.5
Magoffin County,21153,18.86
Marion County,21155,15.47
Marshall County,21157,13.25
Martin County,21159,19.57
Mason County,21161,16.05
Meade County,21163,14.9
Menifee County,21165,17.86
Mercer County,21167,14.76
Metcalfe County,21169,15.96
Monroe County,21171,15.98
Montgomery County,21173,16.83
Morgan County,21175,18.17
Muhlenberg County,21177,15.23
Nelson County,21179,14.39
Nicholas County,21181,15.98
Ohio County,21183,15.41
Oldham County,21185,12.6
Owen County,21187,15.28
Owsley County,21189,19.12
Pendleton County,21191,15.65
Perry County,21193,16.17
Pike County,21195,16.91
Powell County,21197,17.62
Pulaski County,21199,15.43
Robertson County,21201,16.54
Rockcastle County,21203,16.34
Rowan County,21205,15.8
Russell County,21207,15.85
Scott County,21209,14.65
Shelby County,21211,14.36
Simpson County,21213,15.49
Spencer County,21215,13.24
Taylor County,21217,15.04
Todd County,21219,16.09
Trigg County,21221,14.06
Trimble County,21223,14.96
Union County,21225,15.29
Warren County,21227,14.41
Washington County,21229,15.05
Wayne County,21231,16.46
Webster County,21233,15.24
Whitley County,21235,16.06
Wolfe County,21237,18.67
Woodford County,21239,13.41
Acadia Parish,22001,16.84
Allen Parish,22003,17.27
Ascension Parish,22005,15.37
Assumption Parish,22007,17.45
Avoyelles Parish,22009,18.22
Beauregard Parish,22011,15.89
Bienville Parish,22013,18.11
Bossier Parish,22015,14.83
Caddo Parish,22017,16.19
Calcasieu Parish,22019,16.28
Caldwell Parish,22021,16.25
Cameron Parish,22023,14.13
Catahoula Parish,22025,17.69
Claiborne Parish,22027,19.21
Concordia Parish,22029,19.06
De Soto Parish,22031,18.25
East Baton Rouge Parish,22033,16.11
East Carroll Parish,22035,22.9
East Feliciana Parish,22037,18.36
Evangeline Parish,22039,17.42
Franklin Parish,22041,17.77
Grant Parish,22043,16.4
Iberia Parish,22045,17.28
Iberville Parish,22047,18.51
Jackson Parish,22049,16.45
Jefferson Parish,22051,15.61
Jefferson Davis Parish,22053,16.52
Lafayette Parish,22055,14.06
Lafourche Parish,22057,15.47
LaSalle Parish,22059,14.94
Lincoln Parish,22061,15.91
Livingston Parish,22063,15.72
Madison Parish,22065,22.09
Morehouse Parish,22067,18.99
Natchitoches Parish,22069,17.6
Orleans Parish,22071,18.71
Ouachita Parish,22073,15.63
Plaquemines Parish,22075,16.43
Pointe Coupee Parish,22077,17.75
Rapides Parish,22079,16.72
Red River Parish,22081,18.06
Richland Parish,22083,16.39
Sabine Parish,22085,16.72
Saint Bernard Parish,22087,18.16
Saint Charles Parish,22089,16.41
Saint Helena Parish,22091,20.1
Saint James Parish,22093,18.07
Saint John the Baptist Parish,22095,19.19
Saint Landry Parish,22097,18.62
Saint Martin Parish,22099,17.37
Saint Mary Parish,22101,18.85
Saint Tammany Parish,22103,13.54
Tangipahoa Parish,22105,17.92
Tensas Parish,22107,20.81
Terrebonne Parish,22109,16.99
Union Parish,22111,16.76
Vermilion Parish,22113,15.96
Vernon Parish,22115,15.97
Washington Parish,22117,18.47
Webster Parish,22119,16.69
West Baton Rouge Parish,22121,18.17
West Carroll Parish,22123,15.86
West Feliciana Parish,22125,18.32
Winn Parish,22127,16.75
Androscoggin County,23001,13.14
Aroostook County,23003,14.32
Cumberland County,23005,10.68
Franklin County,23007,12.11
Hancock County,23009,11.17
Kennebec County,23011,12.41
Knox County,23013,10.75
Lincoln County,23015,10.9
Oxford County,23017,12.8
Penobscot County,23019,13.03
Piscataquis County,23021,14.01
Sagadahoc County,23023,11.53
Somerset County,23025,13.68
Waldo County,23027,12.06
Washington County,23029,13.52
York County,23031,12.44
Allegany County,24001,14.25
Anne Arundel County,24003,13.33
Baltimore County,24005,13.31
Calvert County,24009,13.69
Caroline County,24011,15.23
Carroll County,24013,12.09
Cecil County,24015,13.85
Charles County,24017,16.11
Dorchester County,24019,16.67
Frederick County,24021,12.76
Garrett County,24023,13.7
Harford County,24025,12.98
Howard County,24027,11.34
Kent County,24029,13.37
Montgomery County,24031,14.18
Prince George's County,24033,14.18
Queen Anne's County,24035,12.77
Saint Mary's County,24037,14.09
Somerset County,24039,18.06
Talbot County,24041,12.4
Washington County,24043,14.58
Wicomico County,24045,15.28
Worcester County,24047,14.37
Baltimore City,24510,19.47
Barnstable County,25001,10.7
Berkshire County,25003,11.24
Bristol County,25005,13.37
Dukes County,25007,10.36
Essex County,25009,12.98
Franklin County,25011,11.89
Hampden County,25013,14.56
Hampshire County,25015,10.97
Middlesex County,25017,11.92
Nantucket County,25019,11.1
Norfolk County,25021,10.99
Plymouth County,25023,12.45
Suffolk County,25025,14.82
Worcester County,25027,12.31
Alcona County,26001,13.5
Alger County,26003,13.87
Allegan County,26005,13.29
Alpena County,26007,12.9
Antrim County,26009,12.5
Arenac County,26011,13.99
Baraga County,26013,14.74
Barry County,26015,12.83
Bay County,26017,13.73
Benzie County,26019,12.69
Berrien County,26021,14.58
Branch County,26023,14.04
Calhoun County,26025,14.97
Cass County,26027,14.05
Charlevoix County,26029,12.14
Cheboygan County,26031,13.52
Chippewa County,26033,14.87
Clare County,26035,14.28
Clinton County,26037,12.99
Crawford County,26039,13.46
Delta County,26041,13.36
Dickinson County,26043,12.74
Eaton County,26045,13.82
Emmet County,26047,10.84
Genesee County,26049,15.85
Gladwin County,26051,13.87
Gogebic County,26053,13.07
Grand Traverse County,26055,11.32
Gratiot County,26057,13.79
Hillsdale County,26059,14.04
Houghton County,26061,13.22
Huron County,26063,13.29
Ingham County,26065,13.62
Ionia County,26067,14.13
Iosco County,26069,13.81
Iron County,26071,13.1
Isabella County,26073,14.45
Jackson County,26075,14.51
Kalamazoo County,26077,12.84
Kalkaska County,26079,13.66
Kent County,26081,13.55
Keweenaw County,26083,12.71
Lake County,26085,15.86
Lapeer County,26087,12.75
Leelanau County,26089,11.39
Lenawee County,26091,14.6
Livingston County,26093,12.13
Luce County,26095,14.69
Mackinac County,26097,14.45
Macomb County,26099,13.73
Manistee County,26101,13.26
Marquette County,26103,12.24
Mason County,26105,12.99
Mecosta County,26107,13.26
Menominee County,26109,13.68
Midland County,26111,12.19
Missaukee County,26113,13.41
Monroe County,26115,13.89
Montcalm County,26117,13.69
Montmorency County,26119,13.79
Muskegon County,26121,15.53
Newaygo County,26123,13.88
Oakland County,26125,12.06
Oceana County,26127,14.16
Ogemaw County,26129,13.89
Ontonagon County,26131,13.02
Osceola County,26133,14.02
Oscoda County,26135,14.24
Otsego County,26137,12.54
Ottawa County,26139,12.65
Presque Isle County,26141,13.53
Roscommon County,26143,13.94
Saginaw County,26145,15.0
Saint Clair County,26147,13.23
Saint Joseph County,26149,14.24
Sanilac County,26151,13.49
Schoolcraft County,26153,14.07
Shiawassee County,26155,13.62
Tuscola County,26157,13.54
Van Buren County,26159,14.3
Washtenaw County,26161,11.9
Wayne County,26163,16.82
Wexford County,26165,13.04
Aitkin County,27001,12.1
Anoka County,27003,11.89
Becker County,27005,11.55
Beltrami County,27007,12.88
Benton County,27009,12.37
Big Stone County,27011,11.61
Blue Earth County,27013,11.0
Brown County,27015,11.39
Carlton County,27017,12.16
Carver County,27019,10.23
Cass County,27021,12.85
Chippewa County,27023,11.65
Chisago County,27025,11.71
Clay County,27027,12.17
Clearwater County,27029,12.79
Cook County,27031,11.38
Cottonwood County,27033,12.04
Crow Wing County,27035,11.37
Dakota County,27037,10.66
Dodge County,27039,11.11
Douglas County,27041,10.76
Faribault County,27043,12.03
Fillmore County,27045,11.75
Freeborn County,27047,12.34
Goodhue County,27049,11.16
Grant County,27051,11.65
Hennepin County,27053,10.59
Houston County,27055,11.2
Hubbard County,27057,11.25
Isanti County,27059,11.75
Itasca County,27061,11.84
Jackson County,27063,11.89
Kanabec County,27065,12.32
Kandiyohi County,27067,11.45
Kittson County,27069,12.18
Koochiching County,27071,12.62
Lac qui Parle County,27073,11.36
Lake County,27075,11.55
Lake of the Woods County,27077,12.35
Le Sueur County,27079,11.4
Lincoln County,27081,11.5
Lyon County,27083,11.67
McLeod County,27085,11.44
Mahnomen County,27087,15.5
Marshall County,27089,12.16
Martin County,27091,11.52
Meeker County,27093,11.7
Mille Lacs County,27095,12.37
Morrison County,27097,12.07
Mower County,27099,12.64
Murray County,27101,11.82
Nicollet County,27103,11.19
Nobles County,27105,13.03
Norman County,27107,12.43
Olmsted County,27109,10.27
Otter Tail County,27111,11.04
Pennington County,27113,12.03
Pine County,27115,12.75
Pipestone County,27117,12.0
Polk County,27119,12.15
Pope County,27121,11.06
Ramsey County,27123,11.57
Red Lake County,27125,12.25
Redwood County,27127,12.15
Renville County,27129,11.82
Rice County,27131,11.4
Rock County,27133,11.81
Roseau County,27135,11.96
Saint Louis County,27137,11.64
Scott County,27139,11.11
Sherburne County,27141,11.34
Sibley County,27143,12.03
Stearns County,27145,11.31
Steele County,27147,11.51
Stevens County,27149,11.22
Swift County,27151,11.9
Todd County,27153,12.14
Traverse County,27155,11.96
Wabasha County,27157,11.1
Wadena County,27159,12.32
Waseca County,27161,11.67
Washington County,27163,10.56
Watonwan County,27165,12.76
Wilkin County,27167,11.68
Winona County,27169,11.72
Wright County,27171,11.23
Yellow Medicine County,27173,11.56
Adams County,28001,19.66
Alcorn County,28003,15.95
Amite County,28005,19.5
Attala County,28007,18.5
Benton County,28009,19.67
Bolivar County,28011,20.03
Calhoun County,28013,18.03
Carroll County,28015,17.39
Chickasaw County,28017,19.17
Choctaw County,28019,17.87
Claiborne County,28021,23.51
Clarke County,28023,18.26
Clay County,28025,18.89
Coahoma County,28027,21.3
Copiah County,28029,19.97
Covington County,28031,18.03
DeSoto County,28033,16.32
Forrest County,28035,16.99
Franklin County,28037,16.77
George County,28039,15.7
Greene County,28041,17.69
Grenada County,28043,18.28
Hancock County,28045,15.15
Harrison County,28047,16.63
Hinds County,28049,18.41
Holmes County,28051,24.8
Humphreys County,28053,23.3
Issaquena County,28055,22.08
Itawamba County,28057,15.43
Jackson County,28059,16.48
Jasper County,28061,19.58
Jefferson County,28063,23.86
Jefferson Davis County,28065,20.35
Jones County,28067,17.13
Kemper County,28069,21.34
Lafayette County,28071,15.44
Lamar County,28073,13.0
Lauderdale County,28075,18.31
Lawrence County,28077,17.54
Leake County,28079,19.66
Lee County,28081,15.37
Leflore County,28083,22.47
Lincoln County,28085,17.06
Lowndes County,28087,18.19
Madison County,28089,13.84
Marion County,28091,17.93
Marshall County,28093,19.8
Monroe County,28095,17.49
Montgomery County,28097,19.11
Neshoba County,28099,17.98
Newton County,28101,17.56
Noxubee County,28103,23.22
Oktibbeha County,28105,17.52
Panola County,28107,18.88
Pearl River County,28109,16.15
Perry County,28111,17.28
Pike County,28113,19.53
Pontotoc County,28115,16.29
Prentiss County,28117,16.56
Quitman County,28119,22.11
Rankin County,28121,14.6
Scott County,28123,19.3
Sharkey County,28125,22.34
Simpson County,28127,18.21
Smith County,28129,16.84
Stone County,28131,15.99
Sunflower County,28133,22.56
Tallahatchie County,28135,21.73
Tate County,28137,17.1
Tippah County,28139,16.69
Tishomingo County,28141,15.83
Tunica County,28143,22.45
Union County,28145,15.61
Walthall County,28147,19.68
Warren County,28149,17.31
Washington County,28151,21.23
Wayne County,28153,18.82
Webster County,28155,15.69
Wilkinson County,28157,22.45
Winston County,28159,19.24
Yalobusha County,28161,18.21
Yazoo County,28163,21.23
Adair County,29001,14.16
Andrew County,29003,12.89
Atchison County,29005,12.92
Audrain County,29007,14.98
Barry County,29009,14.71
Barton County,29011,14.2
Bates County,29013,14.4
Benton County,29015,14.57
Bollinger County,29017,14.79
Boone County,29019,12.19
Buchanan County,29021,14.77
Butler County,29023,14.41
Caldwell County,29025,14.15
Callaway County,29027,13.86
Camden County,29029,13.42
Cape Girardeau County,29031,13.17
Carroll County,29033,14.42
Carter County,29035,15.33
Cass County,29037,13.62
Cedar County,29039,14.77
Chariton County,29041,14.41
Christian County,29043,13.22
Clark County,29045,13.88
Clay County,29047,14.68
Clinton County,29049,13.6
Cole County,29051,13.43
Cooper County,29053,14.19
Crawford County,29055,14.89
Dade County,29057,14.25
Dallas County,29059,14.81
Daviess County,29061,13.97
DeKalb County,29063,15.0
Dent County,29065,14.62
Douglas County,29067,14.94
Dunklin County,29069,16.19
Franklin County,29071,13.74
Gasconade County,29073,14.0
Gentry County,29075,13.39
Greene County,29077,13.1
Grundy County,29079,13.95
Harrison County,29081,13.95
Henry County,29083,13.9
Hickory County,29085,14.93
Holt County,29087,13.37
Howard County,29089,14.15
Howell County,29091,13.81
Iron County,29093,15.13
Jackson County,29095,15.71
Jasper County,29097,14.55
Jefferson County,29099,14.07
Johnson County,29101,13.8
Knox County,29103,14.07
Laclede County,29105,14.7
Lafayette County,29107,14.24
Lawrence County,29109,14.5
Lewis County,29111,14.18
Lincoln County,29113,14.49
Linn County,29115,14.21
Livingston County,29117,14.19
McDonald County,29119,15.72
Macon County,29121,14.16
Madison County,29123,14.94
Maries County,29125,14.15
Marion County,29127,13.78
Mercer County,29129,13.78
Miller County,29131,14.44
Mississippi County,29133,17.55
Moniteau County,29135,14.03
Monroe County,29137,14.27
Montgomery County,29139,14.57
Morgan County,29141,14.86
New Madrid County,29143,16.83
Newton County,29145,14.51
Nodaway County,29147,13.21
Oregon County,29149,15.36
Osage County,29151,13.71
Ozark County,29153,14.59
Pemiscot County,29155,17.77
Perry County,29157,13.66
Pettis County,29159,14.89
Phelps County,29161,13.94
Pike County,29163,15.06
Platte County,29165,12.91
Polk County,29167,14.22
Pulaski County,29169,15.66
Putnam County,29171,13.89
Ralls County,29173,13.6
Randolph County,29175,14.77
Ray County,29177,14.36
Reynolds County,29179,15.75
Ripley County,29181,15.38
Saint Charles County,29183,12.95
Saint Clair County,29185,15.04
Sainte Genevieve County,29186,13.73
Saint Francois County,29187,15.1
Saint Louis County,29189,12.69
Saline County,29195,15.03
Schuyler County,29197,14.25
Scotland County,29199,13.57
Scott County,29201,15.35
Shannon County,29203,14.98
Shelby County,29205,13.84
Stoddard County,29207,14.37
Stone County,29209,13.69
Sullivan County,29211,15.15
Taney County,29213,14.24
Texas County,29215,15.3
Vernon County,29217,14.09
Warren County,29219,13.93
Washington County,29221,15.77
Wayne County,29223,15.31
Webster County,29225,14.22
Worth County,29227,13.65
Wright County,29229,15.24
Saint Louis City,29510,17.97
Beaverhead County,30001,11.06
Big Horn County,30003,17.62
Blaine County,30005,15.97
Broadwater County,30007,11.14
Carbon County,30009,10.99
Carter County,30011,12.36
Cascade County,30013,11.63
Chouteau County,30015,12.8
Custer County,30017,12.26
Daniels County,30019,12.04
Dawson County,30021,11.8
Deer Lodge County,30023,11.41
Fallon County,30025,11.91
Fergus County,30027,11.19
Flathead County,30029,10.61
Gallatin County,30031,9.79
Garfield County,30033,12.37
Glacier County,30035,17.67
Golden Valley County,30037,12.14
Granite County,30039,10.89
Hill County,30041,13.31
Jefferson County,30043,9.98
Judith Basin County,30045,11.26
Lake County,30047,12.87
Lewis and Clark County,30049,10.17
Liberty County,30051,12.1
Lincoln County,30053,12.16
McCone County,30055,12.48
Madison County,30057,10.76
Meagher County,30059,11.53
Mineral County,30061,12.57
Missoula County,30063,9.79
Musselshell County,30065,12.29
Park County,30067,10.53
Petroleum County,30069,12.27
Phillips County,30071,12.79
Pondera County,30073,12.7
Powder River County,30075,11.89
Powell County,30077,11.2
Prairie County,30079,12.37
Ravalli County,30081,10.94
Richland County,30083,11.94
Roosevelt County,30085,18.37
Rosebud County,30087,14.26
Sanders County,30089,12.43
Sheridan County,30091,12.1
Silver Bow County,30093,12.0
Stillwater County,30095,11.37
Sweet Grass County,30097,11.15
Teton County,30099,11.41
Toole County,30101,12.05
Treasure County,30103,11.6
Valley County,30105,12.63
Wheatland County,30107,12.57
Wibaux County,30109,12.52
Yellowstone County,30111,11.46
Adams County,31001,11.76
Antelope County,31003,11.56
Arthur County,31005,11.62
Banner County,31007,12.43
Blaine County,31009,12.28
Boone County,31011,11.11
Box Butte County,31013,13.11
Boyd County,31015,11.3
Brown County,31017,11.89
Buffalo County,31019,10.9
Burt County,31021,12.26
Butler County,31023,11.72
Cass County,31025,11.79
Cedar County,31027,11.74
Chase County,31029,12.12
Cherry County,31031,11.9
Cheyenne County,31033,11.7
Clay County,31035,12.03
Colfax County,31037,13.83
Cuming County,31039,12.05
Custer County,31041,11.44
Dakota County,31043,15.08
Dawes County,31045,11.81
Dawson County,31047,13.92
Deuel County,31049,11.83
Dixon County,31051,12.51
Dodge County,31053,12.64
Douglas County,31055,12.97
Dundy County,31057,12.02
Fillmore County,31059,11.66
Franklin County,31061,11.85
Frontier County,31063,12.0
Furnas County,31065,12.09
Gage County,31067,12.44
Garden County,31069,12.31
Garfield County,31071,11.98
Gosper County,31073,11.66
Grant County,31075,11.86
Greeley County,31077,12.01
Hall County,31079,13.24
Hamilton County,31081,10.91
Harlan County,31083,12.11
Hayes County,31085,11.99
Hitchcock County,31087,12.21
Holt County,31089,11.51
Hooker County,31091,10.34
Howard County,31093,11.66
Jefferson County,31095,12.51
Johnson County,31097,13.62
Kearney County,31099,11.41
Keith County,31101,11.95
Keya Paha County,31103,12.37
Kimball County,31105,12.43
Knox County,31107,12.14
Lancaster County,31109,11.72
Lincoln County,31111,12.23
Logan County,31113,11.63
Loup County,31115,12.11
McPherson County,31117,11.42
Madison County,31119,11.58
Merrick County,31121,11.66
Morrill County,31123,13.07
Nance County,31125,12.13
Nemaha County,31127,12.3
Nuckolls County,31129,11.99
Otoe County,31131,12.61
Pawnee County,31133,12.71
Perkins County,31135,11.29
Phelps County,31137,11.25
Pierce County,31139,11.12
Platte County,31141,11.68
Polk County,31143,11.38
Red Willow County,31145,11.89
Richardson County,31147,13.3
Rock County,31149,11.9
Saline County,31151,13.03
Sarpy County,31153,12.77
Saunders County,31155,11.67
Scotts Bluff County,31157,13.65
Seward County,31159,10.92
Sheridan County,31161,12.46
Sherman County,31163,12.2
Sioux County,31165,11.65
Stanton County,31167,11.52
Thayer County,31169,11.8
Thomas County,31171,11.75
Thurston County,31173,16.78
Valley County,31175,11.38
Washington County,31177,11.37
Wayne County,31179,10.98
Webster County,31181,12.02
Wheeler County,31183,11.87
York County,31185,11.43
Churchill County,32001,13.2
Clark County,32003,14.62
Douglas County,32005,11.28
Elko County,32007,13.89
Esmeralda County,32009,13.37
Eureka County,32011,12.5
Humboldt County,32013,13.44
Lander County,32015,13.51
Lincoln County,32017,12.15
Lyon County,32019,13.19
Mineral County,32021,13.99
Nye County,32023,13.55
Pershing County,32027,13.68
Storey County,32029,11.55
Washoe County,32031,12.06
White Pine County,32033,13.3
Carson City,32510,12.43
Belknap County,33001,11.82
Carroll County,33003,11.28
Cheshire County,33005,11.77
Coos County,33007,12.57
Grafton County,33009,10.56
Hillsborough County,33011,12.52
Merrimack County,33013,11.58
Rockingham County,33015,11.72
Strafford County,33017,13.27
Sullivan County,33019,11.56
Atlantic County,34001,15.0
Bergen County,34003,11.4
Burlington County,34005,12.95
Camden County,34007,14.22
Cape May County,34009,13.03
Cumberland County,34011,17.59
Essex County,34013,15.61
Gloucester County,34015,13.9
Hudson County,34017,16.59
Hunterdon County,34019,10.14
Mercer County,34021,13.27
Middlesex County,34023,13.63
Monmouth County,34025,11.58
Morris County,34027,10.75
Ocean County,34029,12.89
Passaic County,34031,15.61
Salem County,34033,14.68
Somerset County,34035,11.55
Sussex County,34037,11.86
Union County,34039,14.59
Warren County,34041,12.27
Bernalillo County,35001,13.11
Catron County,35003,13.56
Chaves County,35005,16.83
Cibola County,35006,17.7
Colfax County,35007,14.68
Curry County,35009,16.18
De Baca County,35011,16.33
Dona Ana County,35013,16.04
Eddy County,35015,16.75
Grant County,35017,14.52
Guadalupe County,35019,19.71
Harding County,35021,15.46
Hidalgo County,35023,16.56
Lea County,35025,17.28
Lincoln County,35027,13.75
Los Alamos County,35028,8.82
Luna County,35029,17.13
McKinley County,35031,22.63
Mora County,35033,18.88
Otero County,35035,16.08
Quay County,35037,16.33
Rio Arriba County,35039,18.3
Roosevelt County,35041,15.65
Sandoval County,35043,13.85
San Juan County,35045,15.97
San Miguel County,35047,18.8
Santa Fe County,35049,12.17
Sierra County,35051,14.94
Socorro County,35053,17.63
Taos County,35055,14.77
Torrance County,35057,15.43
Union County,35059,15.12
Valencia County,35061,17.7
Albany County,36001,12.37
Allegany County,36003,13.65
Bronx County,36005,20.46
Broome County,36007,13.36
Cattaraugus County,36009,14.06
Cayuga County,36011,13.69
Chautauqua County,36013,14.3
Chemung County,36015,13.57
Chenango County,36017,13.35
Clinton County,36019,12.31
Columbia County,36021,12.22
Cortland County,36023,13.4
Delaware County,36025,13.11
Dutchess County,36027,12.39
Erie County,36029,13.27
Essex County,36031,12.23
Franklin County,36033,13.88
Fulton County,36035,13.85
Genesee County,36037,13.57
Greene County,36039,13.25
Hamilton County,36041,12.47
Herkimer County,36043,13.35
Jefferson County,36045,13.76
Kings County,36047,16.79
Lewis County,36049,13.28
Livingston County,36051,13.59
Madison County,36053,12.78
Monroe County,36055,12.91
Montgomery County,36057,14.41
Nassau County,36059,11.46
New York County,36061,13.11
Niagara County,36063,14.81
Oneida County,36065,13.41
Onondaga County,36067,12.87
Ontario County,36069,12.25
Orange County,36071,13.72
Orleans County,36073,14.53
Oswego County,36075,13.88
Otsego County,36077,11.33
Putnam County,36079,11.66
Queens County,36081,16.33
Rensselaer County,36083,12.84
Richmond County,36085,13.12
Rockland County,36087,12.72
Saint Lawrence County,36089,13.83
Saratoga County,36091,11.64
Schenectady County,36093,13.35
Schoharie County,36095,13.18
Schuyler County,36097,13.13
Seneca County,36099,13.59
Steuben County,36101,13.53
Suffolk County,36103,11.99
Sullivan County,36105,14.17
Tioga County,36107,12.84
Tompkins County,36109,12.37
Ulster County,36111,13.08
Warren County,36113,11.8
Washington County,36115,12.81
Wayne County,36117,13.6
Westchester County,36119,11.88
Wyoming County,36121,13.45
Yates County,36123,12.69
Alamance County,37001,15.59
Alexander County,37003,14.52
Alleghany County,37005,14.21
Anson County,37007,18.73
Ashe County,37009,13.64
Avery County,37011,14.24
Beaufort County,37013,15.15
Bertie County,37015,20.0
Bladen County,37017,17.9
Brunswick County,37019,13.77
Buncombe County,37021,12.87
Burke County,37023,15.37
Cabarrus County,37025,13.96
Caldwell County,37027,15.73
Camden County,37029,14.58
Carteret County,37031,13.09
Caswell County,37033,17.54
Catawba County,37035,14.81
Chatham County,37037,12.0
Cherokee County,37039,14.82
Chowan County,37041,16.01
Clay County,37043,13.71
Cleveland County,37045,16.5
Columbus County,37047,16.75
Craven County,37049,14.11
Cumberland County,37051,17.09
Currituck County,37053,13.97
Dare County,37055,12.66
Davidson County,37057,15.18
Davie County,37059,13.07
Duplin County,37061,17.57
Durham County,37063,14.64
Edgecombe County,37065,20.13
Forsyth County,37067,14.31
Franklin County,37069,15.69
Gaston County,37071,16.29
Gates County,37073,17.33
Graham County,37075,15.35
Granville County,37077,16.62
Greene County,37079,18.26
Guilford County,37081,14.68
Halifax County,37083,19.41
Harnett County,37085,16.15
Haywood County,37087,13.56
Henderson County,37089,13.36
Hertford County,37091,19.88
Hoke County,37093,19.66
Hyde County,37095,17.61
Iredell County,37097,13.91
Jackson County,37099,14.66
Johnston County,37101,15.49
Jones County,37103,16.21
Lee County,37105,15.78
Lenoir County,37107,17.65
Lincoln County,37109,14.66
McDowell County,37111,15.35
Macon County,37113,13.61
Madison County,37115,14.35
Martin County,37117,17.79
Mecklenburg County,37119,14.58
Mitchell County,37121,14.56
Montgomery County,37123,16.39
Moore County,37125,12.76
Nash County,37127,16.57
New Hanover County,37129,12.41
Northampton County,37131,20.61
Onslow County,37133,15.4
Orange County,37135,11.73
Pamlico County,37137,14.48
Pasquotank County,37139,16.88
Pender County,37141,14.75
Perquimans County,37143,15.87
Person County,37145,15.74
Pitt County,37147,14.6
Polk County,37149,13.52
Randolph County,37151,14.79
Richmond County,37153,17.36
Robeson County,37155,21.6
Rockingham County,37157,16.4
Rowan County,37159,15.33
Rutherford County,37161,15.1
Sampson County,37163,17.48
Scotland County,37165,18.5
Stanly County,37167,14.37
Stokes County,37169,14.63
Surry County,37171,14.87
Swain County,37173,17.28
Transylvania County,37175,12.76
Tyrrell County,37177,19.16
Union County,37179,13.44
Vance County,37181,18.88
Wake County,37183,12.91
Warren County,37185,19.09
Washington County,37187,19.2
Watauga County,37189,13.06
Wayne County,37191,17.17
Wilkes County,37193,14.56
Wilson County,37195,17.41
Yadkin County,37197,14.51
Yancey County,37199,14.37
Adams County,38001,10.17
Barnes County,38003,11.98
Benson County,38005,18.12
Billings County,38007,12.47
Bottineau County,38009,12.65
Bowman County,38011,11.5
Burke County,38013,12.84
Burleigh County,38015,11.16
Cass County,38017,10.87
Cavalier County,38019,11.86
Dickey County,38021,11.81
Divide County,38023,12.12
Dunn County,38025,13.06
Eddy County,38027,12.92
Emmons County,38029,12.45
Foster County,38031,11.84
Golden Valley County,38033,12.19
Grand Forks County,38035,11.28
Grant County,38037,12.51
Griggs County,38039,12.03
Hettinger County,38041,12.44
Kidder County,38043,12.32
LaMoure County,38045,11.81
Logan County,38047,12.6
McHenry County,38049,13.12
McIntosh County,38051,12.33
McKenzie County,38053,13.36
McLean County,38055,12.97
Mercer County,38057,12.12
Morton County,38059,12.23
Mountrail County,38061,14.6
Nelson County,38063,11.98
Oliver County,38065,12.54
Pembina County,38067,12.1
Pierce County,38069,12.74
Ramsey County,38071,12.37
Ransom County,38073,11.96
Renville County,38075,12.59
Richland County,38077,11.66
Rolette County,38079,20.28
Sargent County,38081,11.95
Sheridan County,38083,13.08
Sioux County,38085,21.94
Slope County,38087,12.27
Stark County,38089,12.06
Steele County,38091,11.95
Stutsman County,38093,12.46
Towner County,38095,12.06
Traill County,38097,11.54
Walsh County,38099,12.54
Ward County,38101,12.66
Wells County,38103,12.28
Williams County,38105,12.42
Adams County,39001,16.65
Allen County,39003,15.58
Ashland County,39005,13.71
Ashtabula County,39007,15.29
Athens County,39009,16.6
Auglaize County,39011,13.95
Belmont County,39013,15.31
Brown County,39015,15.94
Butler County,39017,15.22
Carroll County,39019,14.51
Champaign County,39021,14.59
Clark County,39023,16.09
Clermont County,39025,14.38
Clinton County,39027,14.8
Columbiana County,39029,14.87
Coshocton County,39031,14.89
Crawford County,39033,15.38
Cuyahoga County,39035,14.82
Darke County,39037,14.76
Defiance County,39039,14.48
Delaware County,39041,11.77
Erie County,39043,14.2
Fairfield County,39045,14.21
Fayette County,39047,15.98
Franklin County,39049,14.77
Fulton County,39051,13.93
Gallia County,39053,15.81
Geauga County,39055,11.62
Greene County,39057,13.53
Guernsey County,39059,14.92
Hamilton County,39061,15.54
Hancock County,39063,14.32
Hardin County,39065,14.82
Harrison County,39067,14.91
Henry County,39069,14.1
Highland County,39071,15.82
Hocking County,39073,15.48
Holmes County,39075,14.51
Huron County,39077,14.65
Jackson County,39079,16.65
Jefferson County,39081,15.4
Knox County,39083,14.29
Lake County,39085,13.58
Lawrence County,39087,16.99
Licking County,39089,14.87
Logan County,39091,15.14
Lorain County,39093,14.45
Lucas County,39095,15.37
Madison County,39097,14.49
Mahoning County,39099,14.8
Marion County,39101,15.67
Medina County,39103,12.66
Meigs County,39105,16.55
Mercer County,39107,13.66
Miami County,39109,14.62
